Expected matrix,,,,,,,,,,,,,,,,,,,
Glen Park,3.2222,12.9656,7.5952,2.3783,0,0,0.7672,0,0,0,0,0,0,0,0,2.0714,0,0,0
Noe Valley,27.4444,110.4312,64.6905,20.2566,0,0,6.5344,0,0,0,0,0,0,0,0,17.6429,0,0,0
Twin Peaks,11.3333,45.6032,26.7143,8.3651,0,0,2.6984,0,0,0,0,0,0,0,0,7.2857,0,0,0
Glen Park,BREACH,1.2129,,,,,,,,,,,,,,,,,
Glen Park,NUISANCE,0.2598,,,,,,,,,,,,,,,,,
Noe Valley,BREACH,1.4305,,,,,,,,,,,,,,,,,
Noe Valley,NUISANCE,2.1126,,,,,,,,,,,,,,,,,
Twin Peaks,BREACH,1.623,,,,,,,,,,,,,,,,,
Twin Peaks,NUISANCE,3.9603,,,,,,,,,,,,,,,,,
chi,10.5992,df,2,pVal,0.005,,,,,,,,,,,,,,
