neighborhood,nonpayment,breach,nuisance,illegal,failsignrenew,accessdenial,unapprovedsubtenant,ownermovein,demolition,capitalimprovement,substantialrehab,ellisactwithdrawal,condoconversion,roommatesameunit,other,latepay,leadremediation,development,goodsamaritan
,44,81,72,9,1,10,1,12,4,0,0,8,1,3,12,8,0,0,0
Bayview Hunters Point,81,117,83,17,11,29,3,31,10,3,0,11,0,12,55,30,0,0,0
Bernal Heights,20,73,59,12,0,4,2,100,29,14,6,52,3,20,19,21,0,0,0
Castro/Upper Market,32,192,101,18,1,5,10,92,22,27,3,151,2,21,21,45,0,0,0
Chinatown,20,44,54,8,0,1,9,5,5,39,0,11,3,2,3,8,0,0,0
Excelsior,47,125,49,15,4,5,1,66,40,9,0,24,0,28,48,28,0,0,0
Financial District/South Beach,12,47,30,8,0,1,2,1,4,1,0,2,0,0,9,5,0,0,0
Glen Park,4,9,9,5,0,0,1,30,4,3,0,11,1,4,2,1,0,0,0
Golden Gate Park,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haight Ashbury,13,114,86,11,3,7,8,82,7,41,0,58,1,21,7,25,0,0,0
Hayes Valley,46,179,115,16,2,9,5,44,7,5,1,42,6,13,13,40,0,0,0
Inner Richmond,12,91,61,5,1,0,7,102,3,16,0,54,0,9,10,11,0,0,0
Inner Sunset,35,120,87,7,0,0,6,85,13,6,0,59,8,12,19,22,0,0,0
Japantown,4,10,6,1,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0
Lakeshore,1,613,63,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0
Lincoln Park,0,2,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
Lone Mountain/USF,13,76,56,5,1,4,7,54,6,13,0,24,2,11,7,15,1,0,0
Marina,15,169,104,14,0,0,3,78,4,19,0,34,2,8,9,16,0,0,0
McLaren Park,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mission,107,439,375,39,2,17,35,225,42,49,0,314,2,38,57,77,1,0,0
Mission Bay,6,1,4,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
Nob Hill,42,178,159,16,1,5,9,42,1,30,0,120,0,2,22,28,0,0,1
Noe Valley,26,123,53,21,2,0,6,94,10,11,0,51,5,13,13,18,0,0,0
North Beach,16,114,68,8,6,1,9,28,0,13,0,108,1,6,5,13,0,0,0
Oceanview/Merced/Ingleside,30,101,50,28,3,6,1,56,30,3,0,15,0,15,27,23,0,0,0
Outer Mission,26,39,39,9,1,5,4,45,24,1,0,5,0,13,20,20,0,0,0
Outer Richmond,58,193,126,26,1,8,14,168,20,17,0,116,1,11,33,39,0,0,0
Pacific Heights,52,152,77,19,0,6,3,62,2,32,0,44,1,4,5,25,1,0,0
Portola,16,40,30,4,1,3,0,29,20,1,0,3,0,7,7,15,0,0,0
Potrero Hill,12,31,24,5,1,1,1,68,13,8,0,23,2,10,12,4,0,0,0
Presidio,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presidio Heights,10,32,24,0,1,1,1,34,6,3,0,34,1,2,7,13,0,0,0
Russian Hill,18,129,54,10,0,1,5,50,7,19,0,97,5,7,3,13,0,0,0
Seacliff,2,3,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0
South of Market,46,178,203,24,0,7,7,13,73,10,0,27,1,3,10,15,0,338,0
Sunset/Parkside,41,193,166,19,0,18,7,226,95,12,1,59,0,27,46,50,0,0,0
Tenderloin,35,416,559,27,5,14,8,0,0,19,0,13,0,1,19,17,2,0,0
Treasure Island,1,22,16,2,0,0,1,0,0,0,0,1,0,4,3,0,0,0,0
Twin Peaks,12,37,37,5,0,0,3,21,2,9,0,32,0,4,2,8,0,0,0
Visitacion Valley,35,46,21,5,0,1,2,21,3,2,0,2,0,12,11,8,0,0,0
West of Twin Peaks,25,52,43,4,1,1,2,80,15,1,1,8,0,26,13,14,1,0,0
Western Addition,8,80,88,13,4,2,4,28,0,11,0,25,1,7,4,7,0,0,0
