Expected matrix,
Inner Richmond,0.0000,0.0000,57.4839,8.5161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Lone Mountain/USF,0.0000,0.0000,53.1290,7.8710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Outer Richmond,0.0000,0.0000,132.3871,19.6129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Inner Richmond,NUISANCE,0.2151
Inner Richmond,ILLEGAL,1.4517
Lone Mountain/USF,NUISANCE,0.1551
Lone Mountain/USF,ILLEGAL,1.0472
Outer Richmond,NUISANCE,0.3081
Outer Richmond,ILLEGAL,2.0800
Chi,5.2573
